Sub_Model,RiskFactor_NM,X1_Var_NM,X2_Var_NM,RiskFactor_VAL,X1_Var_Val,X2_Var_Val,Calc_Type,On_Off_Flag,Monotonicity,Fixed,Key,Notes
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_250,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_300,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_350,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_400,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_450,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-100,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-100_500,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_85,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_105,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_120,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_140,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_165,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_200,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_250,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_300,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_350,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_400,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_450,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-50,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-50_500,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_85,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_105,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_120,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_140,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_165,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_200,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_250,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_300,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_350,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_400,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_450,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,0,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_0_500,
